Year,Country,Value 1,Value 2
1990,Brazil,70.45802056,0
1991,Brazil,70.00565437,-0.64
1992,Brazil,69.55328817,-1.28
1993,Brazil,69.10092198,-1.93
1994,Brazil,68.64855578,-2.57
1995,Brazil,68.19618958,-3.21
1996,Brazil,67.74382339,-3.85
1997,Brazil,67.29145719,-4.49
1998,Brazil,66.83909099,-5.14
1999,Brazil,66.3867248,-5.78
2000,Brazil,65.9343586,-6.42
2001,Brazil,65.4616709,-7.09
2002,Brazil,64.98898319,-7.76
2003,Brazil,64.51629549,-8.43
2004,Brazil,64.04360779,-9.10
2005,Brazil,63.57092009,-9.77
2006,Brazil,63.09823238,-10.45
2007,Brazil,62.62554468,-11.12
2008,Brazil,62.15285698,-11.79
2009,Brazil,61.68016927,-12.46
2010,Brazil,61.20748157,-13.13
2011,Brazil,61.02332816,-13.39
2012,Brazil,60.83917474,-13.65
2013,Brazil,60.65502133,-13.91
2014,Brazil,60.47086792,-14.17
2015,Brazil,60.28671451,-14.44
2016,Brazil,60.07103255,-14.74
2017,Brazil,59.83288148,-15.08
2018,Brazil,59.70842795,-15.26
1990,Indonesia,65.43771425,0
1991,Indonesia,64.48467352,-1.46
1992,Indonesia,63.53163278,-2.91
1993,Indonesia,62.57859205,-4.37
1994,Indonesia,61.62555132,-5.83
1995,Indonesia,60.67251058,-7.28
1996,Indonesia,59.71946985,-8.74
1997,Indonesia,58.76642912,-10.19
1998,Indonesia,57.81338839,-11.65
1999,Indonesia,56.86034765,-13.11
2000,Indonesia,55.90730692,-14.56
2001,Indonesia,55.81783757,-14.70
2002,Indonesia,55.72836821,-14.84
2003,Indonesia,55.63889886,-14.97
2004,Indonesia,55.5494295,-15.11
2005,Indonesia,55.45996015,-15.25
2006,Indonesia,55.37049079,-15.38
2007,Indonesia,55.28102143,-15.52
2008,Indonesia,55.19155208,-15.66
2009,Indonesia,55.10208272,-15.79
2010,Indonesia,55.01261337,-15.93
2011,Indonesia,54.50131102,-16.71
2012,Indonesia,53.99000867,-17.49
2013,Indonesia,53.47870632,-18.28
2014,Indonesia,52.96740396,-19.06
2015,Indonesia,52.45610161,-19.84
2016,Indonesia,50.74345453,-22.46
2017,Indonesia,50.03933382,-23.53
2018,Indonesia,49.71681778,-24.02
1990,Dem. People's Rep. Of Korea,67.91416131,0
1991,Dem. People's Rep. Of Korea,67.83640887,-0.11
