Value 1,Value 2,,,,,,,
Hard work,36,,,,,,,
Hard work,40,,,,,,,
Hard work,18,,,,,,,
Hard work,3,,,,,,,
Hard work,1,,,,,,,
Ambition,29,,,,,,,
Ambition,40,,,,,,,
Ambition,24,,,,,,,
Ambition,3,,A good education,24,43,27,3,1
Ambition,1,,Good contacts,13,31,38,10,4
A good education,24,,Wealthy family,7,22,29,26,11
A good education,43,,Well-educated parents,4,23,42,20,5
A good education,27,,Political connections,5,14,22,29,18
A good education,3,,Race,3,12,23,28,27
A good education,1,,Gender,2,12,24,33,24
Good contacts,13,,Religion,1,3,10,35,43
Good contacts,31,,,,,,,
Good contacts,38,,,,,,,
Good contacts,10,,,,,,,
Good contacts,4,,,,,,,
Wealthy family,7,,,,,,,
Wealthy family,22,,,,,,,
Wealthy family,29,,,,,,,
Wealthy family,26,,,,,,,
Wealthy family,11,,,,,,,
Well-educated parents,4,,,,,,,
Well-educated parents,23,,,,,,,
Well-educated parents,42,,,,,,,
Well-educated parents,20,,,,,,,
Well-educated parents,5,,,,,,,
Political connections,5,,,,,,,
Political connections,14,,,,,,,
Political connections,22,,,,,,,
Political connections,29,,,,,,,
Political connections,18,,,,,,,
Race,3,,,,,,,
Race,12,,,,,,,
Race,23,,,,,,,
Race,28,,,,,,,
Race,27,,,,,,,
Gender,2,,,,,,,
Gender,12,,,,,,,
Gender,24,,,,,,,
Gender,33,,,,,,,
Gender,24,,,,,,,
Religion,1,,,,,,,
Religion,3,,,,,,,
Religion,10,,,,,,,
Religion,35,,,,,,,
Religion,43,,,,,,,
